text,label,label_text
@user this isn't me disagreeing this is me basically saying that i hope you're right but if you are i will spontaneously combust,0,non-offensive
@user @user Who is the ring leader of the brain dead sheep. Time to turn it back on him.,1,offensive
@user Your fucking Bf nigga,1,offensive
@user oh wait i read that wrong hfjdhd so they don’t know infinity war huh,0,non-offensive
@user @user Tucker Carlson is not an idiot.  He knows exactly what he is doing.  That makes him malicious.,0,non-offensive
@user @user @user @user Liberals have compassion ONLY for non Americans.,0,non-offensive
@user  yet another “good guy with a gun....”🤦‍♀️ WE NEED COMMON SENSE GUN CONTROL LEGISLATION #doSomthing @user #VoteTheGOPOut #CountryOverParty  Documents: Alleged mass murderer thought wife was cheating,1,offensive
@user He is a piece of work!,0,non-offensive
#IdiotAlert Gun control activist David Hogg suggested AR-15s cannot be used for self-defense because they shoot further than handguns.,1,offensive
6 more white boys standing up for you every day Ms. .@USER  I think the poster adds speshul emphasis. Don’t you?  #MAGA #WWG1WGA,1,offensive
@user @user @user @user @user @user @user @user @user @user that is about the saddest existence I have ever been privy to reading. Sucks to be you man,1,offensive
@user @user oink,0,non-offensive
@user @user @user @user yes he is,0,non-offensive
@user @user @user She probably did not think it would get this far. I hope the little sleaze does not go to the hearing and I hope if she does that they will prove what a liar conniving witch she and the rest of the Liberals are.,1,offensive
#KamalaHarris The New Dem Emperor with No Clothes Taxpayers Funded ‘Unprecedented’ Armed Protection for Gun Control Sen. Kamala Harris via @user,0,non-offensive
@user It really is unbelievable that he feels it’s ok to call citizens worse than deplorable. He’s nuts. No wonder ppl are running to Reps. He obviously thinks he is way better than us. Time to go away Mr. Biden!,1,offensive
"@user how Antifa's extremism is facism in the making""""  Now I'm making the face in your avi""""",0,non-offensive
@user @user F Hope! Since he’s ‘NOT smarter than a 5th grader’ maybe she is!,1,offensive
@user she is hungery,1,offensive
@user Also he supports antifa,0,non-offensive
