text,label,label_text
@user The women act like they don't have options. Yet dick is all over. When women realize there is EXCESS men is when they stop putting up trash.,1,hate
"@user what does the word 'Parody', clearly stated in the bio, mean to you?",0,non-hate
@user @user @user @user @user That's hysterical though you didn't mean it to be,0,non-hate
can't decide which is the most hysterical woman between you and Booker - the batshit crazy is strong in both of you. Taking lessons from old Pelosi?,1,hate
"' I'm a classy bitch. ' First of all, you are a tranny street whore who jerks off 19 y/o s off for money in Krishna Nagar during nights.",1,hate
ALSO PRETTY SURE YOU DON'T HAVE THE RIGHT TO BE A PSYCHOTIC CUNT TO YOUR EX WHEN YOU'RE THE TRIFLING ASS WHORE WHO CHEATED IN THE 1ST PLACE,1,hate
When I look at the shit that I post...,0,non-hate
France: The imported muslim antisemitism against Jews in France increase. Jews have fear. And nobody stop this immigration !,1,hate
"RT @user 'A good time was had by all,' to describe a time that only you enjoyed. #TFM",0,non-hate
The same men who start wailing saying 'WAAAAHHHH NOT ALL MEN OMG YOU BITCH IM NOT LIKE THAT' are the same POS I'm talking about,0,non-hate
@user @user Not all men are godless heathens with no morals or values. I know that might be hard for you to understand.,0,non-hate
"🗣 Tuesday and Wednesday, Thursday and Friday.....I can beat your ass bitch every weekend. 😊🤷🏽‍♀️",1,hate
#NJ Should NOT be a facilitator for the concealment of illegal aliens. Granting driving licenses There is no background check on Illegals to determine if they pose a national security threat #RedNationRising #Immigration #Trump #MAGA #SendThemBack,1,hate
"#impeachtrump #republican #democrat Just consider how different life would be today if Hillary had picked Bernie as her VP candidate, they would have beaten the orange king by 30 points, saving SS, the budget, immigrant children, and journalist's lives.",0,non-hate
I’m so tired of older women at work asking me if I got married because I im pregnant like no bitch and I don’t plan on it.,1,hate
it makes no sense. I have a green card as well issued by the exact same agency @user It is valid for 10 years. The vetting is the EXACT same if not more rigorous for a green card. Why aren’t the refugee travel docs and green cards issued for the same # of validity?,0,non-hate
#Democrats Illegal Alien Grand Ma Caught  Sneakin in 31 Pounds of Herion from Mexico Proving Illegal Grand Mas Must be deported too!  #Trump #MAGA  #RedNationRising  Abolish Illegals Keep @user @user  #Immigration,1,hate
My family’s idea of a merienda for this moment is siopao. They really hate me. Me: *calls Tim Ho Wan* Do you deliver in elyu? 😢,0,non-hate
"psa: women were never 'sacred' and unless you miss the Madonna -Whore binary, it's good that we've let go of that stupid frame",0,non-hate
Bitch are you fucking kidding me??? So if women get hit by their husbands its cuz they're hitam?? Not bc he's an abusive asshole?? 😒😒,1,hate
