text,label,label_text
"christina ricci comedy about sympathy , hypocrisy and love is a misfire .",0,negative
"this quiet , introspective and entertaining independent is worth seeking .",1,positive
beautifully directed and convincingly acted .,1,positive
"if this movie belonged to a sorority , it would be called beta alpha delta .",0,negative
"a nearly 21/2 hours , the film is way too indulgent .",0,negative
"they were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn . they were right .",0,negative
"presents nothing special and , until the final act , nothing overtly disagreeable .",0,negative
"ranging from funny to shattering and featuring some of the year 's best acting , personal velocity gathers plenty of dramatic momentum .",1,positive
"`` `` '' catch me `` '' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark . ''",1,positive
`` it 's the sweet cinderella story that `` '' pretty woman `` '' wanted to be . '',1,positive
