text,label_text
"The sandwiches are dry , tasteless and way overpriced .","[('food quality', 'sandwiches', 'dry', 'negative'), ('food quality', 'sandwiches', 'tasteless', 'negative'), ('food prices', 'sandwiches', 'overpriced', 'negative')]"
Slightly on the pricey side but worth it !,"[('restaurant prices', 'NULL', 'pricey', 'negative'), ('restaurant general', 'NULL', 'worth', 'positive')]"
"Small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .","[('food quality', 'salmon', 'wasnt impressed', 'negative'), ('food quality', 'chicken', 'good', 'positive'), ('food general', 'servings for main entree', 'Small', 'negative')]"
first it took us a long time to find the place .,"[('restaurant miscellaneous', 'place', 'took us a long time', 'negative')]"
One of us actually liked the expresso - that 's it .,"[('drinks quality', 'expresso', 'liked', 'positive')]"
"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !","[('location general', 'neighborhood', 'great', 'positive'), ('food quality', 'food', 'great', 'positive')]"
the drinks are amazing and half off till 8pm .,"[('drinks quality', 'drinks', 'amazing', 'positive'), ('drinks prices', 'drinks', 'amazing', 'positive')]"
"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .","[('food style_options', 'bruschettas', 'large selection', 'positive'), ('food style_options', 'paninis', 'large selection', 'positive'), ('food style_options', 'tramezzinis', 'large selection', 'positive')]"
I absolutely love this place ! ! !,"[('restaurant general', 'place', 'love', 'positive')]"
The wine list is also really nice .,"[('drinks style_options', 'wine list', 'nice', 'positive')]"
"I ca n't wait for summer , when they serve outside on their gigantic patio .","[('ambience general', 'patio', 'gigantic', 'positive')]"
Spreads and toppings are great - though a bit pricey .,"[('food quality', 'Spreads', 'great', 'positive'), ('food quality', 'toppings', 'great', 'positive'), ('food prices', 'Spreads', 'pricey', 'negative'), ('food prices', 'toppings', 'pricey', 'negative')]"
"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .","[('restaurant general', 'place', 'unattractive', 'negative'), ('ambience general', 'room', 'unattractive', 'negative'), ('service general', 'clerks', 'unhelpful', 'negative')]"
