sid,text,label,label_text
twitter-train-3054,@user awww Saturday? how was it?? @user you dont even came to my side much in BKK con\u002c i was so upset abt that,0,negative
twitter-train-2195,"""Tune into ABC Sunday, April 22nd 9/8c for """"""""Firelight"""""""" a Hallmark Hall of Fame movie with Cuba Gooding Jr. and me as a parole officer.""",1,neutral
twitter-train-12106,I just realized im retaking the CASHEE tomorrow -.-,1,neutral
twitter-train-27636,Preparing my birthday cakes for tomorrow. ..bday girls shouldn't have to bake their own cakes..Oreo cheesecake on the menu for colleagues,1,neutral
twitter-train-30482,"""Yesterday was a grand day, woken up with pancakes and tea in bed, ended with Foo Fighters. Best Saturday. Best boyfriend.""",2,positive
twitter-train-26809,-.- today is Monday.. Damn it. I\u2019m gonna miss my Rui En\u2019s show tonight.,0,negative
twitter-train-30665,@user 1st using the Pacers...never even practiced with em.,0,negative
twitter-train-12510,It\u2019s the clash of the century - we\u2019re taking on @user and @user at bowling tonight. May the best show win. (us) #fightingtalk,2,positive
twitter-train-25303,"""#FCFILMMEDIA Moto G (3rd Generation) : A Perfect Smartphone: Moto G, the most liking brand name by youth, comi...",2,positive
twitter-train-12840,@user really because on my phone it says I messaged you Nov. 21 the first night of thanksgiving break #fact,1,neutral
twitter-train-31380,Just found myself googling 'ant man quantum realm reflection'. I may be thinking about Ant-Man too much. It is ace though.,2,positive
twitter-train-42116,Weird music mood today . Lots of Hank Williams and Johnny Cash running through the iphone.,0,negative
twitter-train-7377,@user Im sad I never saw you at Phoenix Comicon but I didnt spend much time in the exhibition hall after friday.,0,negative
twitter-train-5348,No school tomorrow = Tumblr the whole night\u002c till i fall asleep p;,1,neutral
twitter-train-39183,Bomb Squad bake sale Thursday the 25th !!! Don\u2019t miss out.,2,positive
