text,label_text
The machine is slow to boot up and occasionally crashes completely .,"[('boot up', 'slow', 'negative'), ('boot up', 'crashes', 'negative')]"
The switchable graphic card is pretty sweet when you want gaming on the laptop .,"[('switchable graphic card', 'sweet', 'positive')]"
"everything about a mac is wonderful , it takes a little used to learning and getting used to the new system , but you will learn fast and its all worth it .","[('system', 'new', 'neutral'), ('system', 'learn fast', 'neutral'), ('system', 'worth', 'neutral')]"
my niece and nephew have played a few web games and it runs anything that does n't require a dedicated video card .,"[('video card', 'dedicated', 'neutral')]"
"We love the size of the screen , although it is still lightweight and very easy to tote around .","[('size of the screen', 'love', 'positive'), ('tote', 'easy', 'positive')]"
The screen resolution was exactly what I was looking for .,"[('screen resolution', 'exactly', 'positive')]"
"It is so simple to use , I use it more than my desktop .","[('use', 'simple', 'positive')]"
"And at one point , they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop ( I bought the memory stick they recomended ) .","[('memory stick', 'bad', 'neutral')]"
the screen brightness automatically adjusts .,"[('screen brightness', 'automatically adjusts', 'neutral')]"
"Overall the computer is very easy to use , the screen is perfect , great computer , my daughter loves .","[('screen', 'perfect', 'positive'), ('use', 'easy', 'positive')]"
It does not keep internet signals no matter where you bring it .,"[('internet signals', 'not keep', 'negative')]"
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV .,"[('Intel Core processors', 'new', 'neutral')]"
The little battery that it did have would only last about an hour while just having it on the desktop .,"[('battery', 'little', 'negative')]"
Supplied software : The software that comes with this machine is greatly welcomed compared to what Windows comes with .,"[('Supplied software', 'greatly welcomed', 'neutral'), ('software', 'greatly welcomed', 'positive')]"
It 's still beautiful and has better color reproduction than I could ever expect from a notebook .,"[('color reproduction', 'better', 'positive')]"
"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .","[('Mac software', 'easy', 'positive'), ('Microsoft software', 'simpler than', 'negative'), ('use', 'easy', 'positive')]"
The AC power port becomes loose over time,"[('AC power port', 'loose', 'negative')]"
I love WIndows 7 which is a vast improvment over Vista .,"[('WIndows 7', 'love', 'positive')]"
"It did n't come with any software installed outside of windows media , but for the price , I was very pleased with the condition and the overall product .","[('software', ""did n't come with"", 'negative'), ('price', 'pleased', 'positive')]"
"it might be something deep within Windows , for I was unable to create a disk image on my hard drive .","[('Windows', 'unable', 'negative'), ('hard drive', 'unable', 'negative'), ('disk image', 'unable', 'negative')]"
Hard disk - The new editions gives you more hard disk space ( 500GB instead of 320GB ) but time has taught me never to trust an internal hard disk .,"[('hard disk space', 'more', 'positive'), ('internal hard disk', 'never to trust', 'neutral')]"
"Garageband is more for the musicians , and the laptop is equipped with a good working microphone , good enough for beginners and musicians at the intermediate level .","[('Garageband', 'good working', 'neutral'), ('microphone', 'good working', 'positive')]"
"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista ( I should have waited the few months to get the next operating system ) .","[('Vista', 'problem', 'negative')]"
"Would like more trendy , high tech features .","[('features', 'trendy', 'negative'), ('features', 'high tech', 'negative')]"
It 's a great product for a great price !,"[('price', 'great', 'positive')]"
It did not have all the features I expected it to have .,"[('features', 'did not have', 'negative')]"
"The only thing that can be updated is the video , other than that you 're all set .","[('video', 'updated', 'negative')]"
Came fully loaded - good .,"[('loaded', 'fully', 'positive'), ('loaded', 'good', 'positive')]"
Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English .,"[('Windows', 'failed', 'neutral'), ('Windows', 'could not load', 'neutral')]"
"I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my screen and keep my eyes fresh !","[('screen', 'extend', 'neutral')]"
