domain,text,label,label_text
atheism,"The framers of our Constitution meant we were to have freedom of religion, not freedom from religion. - Billy Graham #quote #SemST",1,against
abortion,"I'm pro choice for if you want to kill living babies, go right ahead. #SemST",2,favor
hillary,Great that @user attended #ClementaPinckney 's funeral today!! #SemST,2,favor
abortion,@user  Rock on girl!  We all know #AbortionIsMurder.   #SemST,1,against
climate,V @user V @user The Biggest Story In World Podcast @user @user @user of @user STUPIDITY And IGNORANCE! #SemST,0,none
hillary,Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation #SemST,1,against
feminist,Sexism is power plus prejudice? So Anita is sexist by her own definition because of her new title in time #Anitasarkeesian #SemST,1,against
hillary,@user @user I'm not a Genitalian #SemST,0,none
abortion,@user @user @user @user Bad analogy. The current time frame for abortion is the best compromise  #SemST,1,against
feminist,Or maybe I'm just cross because I'm hungry... hmmmm #SemST,0,none
feminist,How can you be female and not be a feminist? Like do you not care about your rights as a women or what? #SemST,2,favor
hillary,@user   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world #SemST,2,favor
abortion,You know what's best You know what's best for your well being You know what's best for your life... # #SemST,0,none
hillary,"@user Thanks for the follow David, may God bless you and your family.  #freeallfour #SemST",0,none
feminist,I believe that every women should have their own rights!! #SemST,2,favor
