text,label_text
"To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .","[('food', 'above average', 'positive'), ('Teodora', 'deficiencies', 'negative')]"
The restaurant is cute but not upscale .,"[('restaurant', 'cute', 'neutral'), ('restaurant', 'not upscale', 'neutral')]"
The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts .,"[('environment', 'upscale', 'neutral')]"
But the service is HORRID !,"[('service', 'HORRID', 'negative')]"
The place 's decor and hidden bathrooms made for a good laugh .,"[('decor', 'good laugh', 'positive'), ('hidden bathrooms', 'good laugh', 'positive')]"
There is a downside if you 're ordering in -- the delivery guys have MAJOR attitude .,"[('delivery guys', 'downside', 'negative')]"
"limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice .","[('menu', 'limited', 'negative'), ('ingredients', 'no-so-fresh', 'negative'), ('fish', 'thinly-sliced', 'negative'), ('rice', 'fall-apart', 'negative')]"
Always good drinks and service is pretty good ;,"[('drinks', 'good', 'positive'), ('service', 'good', 'positive')]"
Easily the worst stir-fried squid I 've ever tasted .,"[('stir-fried squid', 'worst', 'negative')]"
Service was wonderful ;,"[('Service', 'wonderful', 'positive')]"
Not what I would expect for the price and prestige of this location .,"[('location', 'expect', 'neutral')]"
"lobster was good , nothing spectacular .","[('lobster', 'good', 'neutral'), ('lobster', 'nothing spectacular', 'neutral')]"
bottles of wine are cheap and good .,"[('bottles of wine', 'cheap', 'positive'), ('bottles of wine', 'good', 'positive')]"
"Everyone seemed generally happy with their food , except my brother who had the grilled Mahi Mahi , seemingly drenched in Grapfruit Juice !","[('food', 'happy', 'positive'), ('grilled Mahi Mahi', 'drenched', 'negative')]"
"To sum it up : Service varies from good to mediorce , depending on which waiter you get ; generally it is just average Ok .","[('Service', 'varies', 'neutral')]"
