text,label_text
Another issue I have with it is the battery .,"[('battery', 'negative')]"
"If that is the case for you , I would suggest a pull-behind solution when looking at cases .",[]
I really wanted a Mac over a pc because I used a Mac in high school .,[]
"Hmmm , that high failure rate sure is n't reflected in the retail price .","[('retail price', 'negative')]"
"I was looking too closely at the other performance specs and while comparing , I took it for granted that these features were standard .","[('performance specs', 'neutral'), ('features', 'neutral')]"
After that the said it was under warranty .,"[('warranty', 'neutral')]"
i also love having the extra calculator number set up on the keyboard which most laptops do not have .,"[('keyboard', 'positive')]"
"Your cursor will end up all over the freaking place , , , it 's not uncommon for me to accidentally delete words , sentences , paragraphs because of this mousepad .","[('cursor', 'negative'), ('mousepad', 'negative')]"
So think about factoring those things in when you purchase .,[]
You know what ? I happened to buy a defective blood pressure monitor a week ago at the Bukit Batok Polyclinic NHG Pharmacy a week ago .,[]
"Bigger HD , better graphics card , and a bid HD .","[('HD', 'positive'), ('graphics card', 'positive'), ('HD', 'positive')]"
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it .,"[('software', 'negative')]"
"If you 're looking for something to fly through those massive spreadsheets or play a graphics-intensive game , you 'd be better off getting a machine aimed at that segment of the market .","[('game', 'neutral')]"
"The first one I had was a 2006 model , not the Pro .",[]
The first full charge of this battery got me only about 2 full hours .,"[('full charge', 'negative'), ('battery', 'negative')]"
"The Unibody construction is solid , sleek and beautiful .","[('Unibody construction', 'positive')]"
"THEN , one month after the warranty expired , the replacement charger went .","[('warranty', 'neutral'), ('replacement charger', 'negative')]"
"I love the size , keyboard , the functions .","[('size', 'positive'), ('keyboard', 'positive'), ('functions', 'positive')]"
Mac also has many apps and programs that are quite cheap or free .,"[('apps', 'positive'), ('programs', 'positive')]"
"Its Office compatible , but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs .","[('Office', 'positive'), ('features', 'neutral'), ('functioning', 'neutral'), ('programs', 'neutral')]"
