idx,text,aspect,label_text
1011,"However , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup .",glass front,negative
63,I just wonder how you can have such a delicious meal for such little money .,meal,positive
3148,"Aside from the Sea Urchin , the chef recommended an assortment of fish including Fatty Yellow Tail , Boton Shrimp , Blue Fin Torro ( Fatty Tuna ) , Sea Eel , etc. .",") , Sea Eel",neutral
2669,"And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) .",( congee,neutral
292,The waitress suggested glasses of wine that went very well with the food .,waitress,positive
2997,"Dessert - ca n't be missed , so save room !!!",Dessert,positive
998,"if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try sushi of gari 's ( east side ) .",sushi,positive
2841,"We a menu that rearely changes , e xcept for one or two specials , the quality and care they put in thier food in evident .",specials,neutral
1426,The drinks are always welll made and wine selection is fairly priced .,wine selection,neutral
574,"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",Delivery,positive
921,"Behind this counter , two men are squeezed in .",counter,negative
2306,"The food was just OK , I would never go back .",food,neutral
3000,It was so bad I actually refused to pay for my food .,food,negative
490,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived .,bottle of wine,neutral
899,It is kinda nosiy and the tables are close together but it 's still a beautiful place to enjoy a nice dinner .,dinner,positive
2106,"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive , the menu has been overhauled .",classical furniture,positive
1801,I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish .,Green Curry dish,negative
3581,"Good atmosphere , combination of all the hottest music dress code is relatively strict except on Fridays .",music,positive
3541,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",dhosas,negative
1863,"However , I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling .",ceiling,negative
3084,I had to ask her three times before she finally came back with the dish Ive requested .,dish,neutral
333,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",menu,neutral
158,The last time I went we were seated at a table in a corridor next to the kitchen .,table,negative
2742,"I have been a longtime fan of Holy Basil in the East Village , and while I do believe their food has slightly slipped in quality , I have been hesitant to be disloyal .",quality,negative
1534,I have to say I have never had a disapointing meal here .,meal,positive
112,All my co-workers were amazed at how small the dish was .,dish,negative
1464,The Singapore Mai Fun had NO curry flavor whatsoever .,curry flavor,negative
1749,"Fluke sashimi drizzled with jalapeno-lime olive oil , the fruit of the oil nicely highlighting the fish 's sweetness .",fruit of the oil,positive
3374,I 've had to wait only a few times during lunch but this place is definitely worth the wait .,lunch,neutral
3060,Food and service was okay .,service,neutral
