text,label,label_text
"If this silly little cartoon can inspire a few kids not to grow up to be greedy bastards , more power to it .",2,neutral
"The animation and game phenomenon that peaked about three years ago is actually dying a slow death , if the poor quality of Pokemon 4 Ever is any indication .",0,very negative
I ca n't say this enough : This movie is about an adult male dressed in pink jammies .,1,negative
Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .,4,very positive
"Nicks refuses to let Slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",3,positive
"Less cinematically powerful than quietly and deeply moving , which is powerful in itself .",2,neutral
"... a sweetly affecting story about four sisters who are coping , in one way or another , with life 's endgame .",3,positive
A rather tired exercise in nostalgia .,1,negative
It 's a fun adventure movie for kids ( of all ages ) that like adventure .,4,very positive
` Like a child with an important message to tell ... ( Skins ' ) faults are easy to forgive because the intentions are lofty . ',2,neutral
"As underwater ghost stories go , Below casts its spooky net out into the Atlantic Ocean and spits it back , grizzled and charred , somewhere northwest of the Bermuda Triangle .",1,negative
"Ice Age wo n't drop your jaw , but it will warm your heart , and I 'm giving it a strong thumbs up .",3,positive
"When it comes out on video , then it 's the perfect cure for insomnia .",0,very negative
Could as easily have been called ` Under Siege 3 : In Alcatraz ' ... a cinematic corpse that never springs to life .,1,negative
"( A ) boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .",1,negative
That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace .,4,very positive
The catch is that they 're stuck with a script that prevents them from firing on all cylinders .,0,very negative
`` Austin Powers in Goldmember `` has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,4,very positive
This is standard crime drama fare ... instantly forgettable and thoroughly dull .,0,very negative
"a confident , richly acted , emotionally devastating piece of work and 2002 's first great film",4,very positive
Each scene wreaks of routine ; the film never manages to generate a single threat of suspense .,2,neutral
A flick about our infantilized culture that is n't entirely infantile .,3,positive
Cox creates a fluid and mesmerizing sequence of images to match the words of Nijinsky 's diaries .,3,positive
This ludicrous film is predictable at every turn .,0,very negative
A very pretty after-school special .,2,neutral
