domain,id,text,aspect,label_text
rest,1987,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",presentaion,negative
laptop,2313,"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.",resume from sleep,neutral
rest,949,We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,outside,neutral
laptop,2653,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors,negative
laptop,740,This computer had exactly the specifications I needed.,specifications,positive
rest,2409,And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.,service,negative
rest,1509,"still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer...",serves,negative
rest,3195,He has visited Thailand and is quite expert on the cuisine.,cuisine,positive
laptop,1623,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,negative
laptop,1660,"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,positive
laptop,1433,Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral
laptop,2647,The case is carved out of a single block of aluminum.,case,neutral
rest,628,The server was really cool and served us our food and drinks with a smile.,served,positive
rest,2595,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",personal herb garden,positive
rest,2167,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,cream cheese,neutral
