idx,text,aspect,label_text
802,"( If you ever see the spinning beachball come up when you think it should n't , check the `` Activity Monitor '' app to see if the disk throughput has temporarily dropped to zero .",disk throughput,neutral
1235,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started .,use,positive
187,I wish the volume could be louder and the mouse didnt break after only a month .,mouse,negative
1052,"The screen is bright and vivid and the keyboard is very easy to use , very important for use quick typers .",screen,positive
1561,"I think the manual is somewhere on the hard drive , but I rather have a hard copy .",manual,neutral
2042,It 's now all commodity hardware .,commodity hardware,neutral
1784,Now the machine wo n't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I 'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook .,warranty,negative
828,There is no number pad to the right of the keyboard which is a bummer .,pad,negative
165,"BEST BUY - 5 STARS + + + ( sales , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive
1050,"I have Vista , so I am unable to install and uninstall some programs .",install,negative
1970,( The SATA controller is the motherboard chip that lets the CPU talk to the hard drive . ),CPU,neutral
454,The online tutorial videos make it super easy to learn if you have always used a PC .,online tutorial videos,positive
395,"Great Laptop for the price , works well with action pack games .",", works",positive
2163,COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS .,SERVICE FACILITY,negative
167,"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .",motherboard,neutral
